zip,county_fips,county_name
90001,06037,Los Angeles County
90002,06037,Los Angeles County
90003,06037,Los Angeles County
90004,06037,Los Angeles County
90005,06037,Los Angeles County
90006,06037,Los Angeles County
90007,06037,Los Angeles County
90008,06037,Los Angeles County
90010,06037,Los Angeles County
90011,06037,Los Angeles County
90012,06037,Los Angeles County
90013,06037,Los Angeles County
90014,06037,Los Angeles County
90015,06037,Los Angeles County
90016,06037,Los Angeles County
90017,06037,Los Angeles County
90018,06037,Los Angeles County
90019,06037,Los Angeles County
90020,06037,Los Angeles County
90021,06037,Los Angeles County
90022,06037,Los Angeles County
90023,06037,Los Angeles County
90024,06037,Los Angeles County
90025,06037,Los Angeles County
90026,06037,Los Angeles County
90027,06037,Los Angeles County
90028,06037,Los Angeles County
90029,06037,Los Angeles County
90031,06037,Los Angeles County
90032,06037,Los Angeles County
90033,06037,Los Angeles County
90034,06037,Los Angeles County
90035,06037,Los Angeles County
90036,06037,Los Angeles County
90037,06037,Los Angeles County
90038,06037,Los Angeles County
90039,06037,Los Angeles County
90040,06037,Los Angeles County
90041,06037,Los Angeles County
90042,06037,Los Angeles County
90043,06037,Los Angeles County
90044,06037,Los Angeles County
90045,06037,Los Angeles County
90046,06037,Los Angeles County
90047,06037,Los Angeles County
90048,06037,Los Angeles County
90049,06037,Los Angeles County
90052,06037,Los Angeles County
90056,06037,Los Angeles County
90057,06037,Los Angeles County
90058,06037,Los Angeles County
90059,06037,Los Angeles County
90061,06037,Los Angeles County
90062,06037,Los Angeles County
90063,06037,Los Angeles County
90064,06037,Los Angeles County
90065,06037,Los Angeles County
90066,06037,Los Angeles County
90067,06037,Los Angeles County
90068,06037,Los Angeles County
90069,06037,Los Angeles County
90071,06037,Los Angeles County
90073,06037,Los Angeles County
90077,06037,Los Angeles County
90079,06037,Los Angeles County
90089,06037,Los Angeles County
90094,06037,Los Angeles County
90095,06037,Los Angeles County
90201,06037,Los Angeles County
90210,06037,Los Angeles County
90211,06037,Los Angeles County
90212,06037,Los Angeles County
90220,06037,Los Angeles County
90221,06037,Los Angeles County
90222,06037,Los Angeles County
90230,06037,Los Angeles County
90232,06037,Los Angeles County
90240,06037,Los Angeles County
90241,06037,Los Angeles County
90242,06037,Los Angeles County
90245,06037,Los Angeles County
90247,06037,Los Angeles County
90248,06037,Los Angeles County
90249,06037,Los Angeles County
90250,06037,Los Angeles County
90254,06037,Los Angeles County
90255,06037,Los Angeles County
90260,06037,Los Angeles County
90262,06037,Los Angeles County
90263,06037,Los Angeles County
90265,06037,Los Angeles County
90266,06037,Los Angeles County
90270,06037,Los Angeles County
90272,06037,Los Angeles County
90274,06037,Los Angeles County
90275,06037,Los Angeles County
90277,06037,Los Angeles County
90278,06037,Los Angeles County
90280,06037,Los Angeles County
90290,06037,Los Angeles County
90291,06037,Los Angeles County
90292,06037,Los Angeles County
90293,06037,Los Angeles County
90301,06037,Los Angeles County
90302,06037,Los Angeles County
90303,06037,Los Angeles County
90304,06037,Los Angeles County
90305,06037,Los Angeles County
90401,06037,Los Angeles County
90402,06037,Los Angeles County
90403,06037,Los Angeles County
90404,06037,Los Angeles County
90405,06037,Los Angeles County
90501,06037,Los Angeles County
90502,06037,Los Angeles County
