zip,county,county_fips,market_id,market_name,state,nielsen_dma_origin,county_population_2023
90001,Los Angeles County,06037,CA-01,Greater LA Core,CA,Los Angeles,9720000
90002,Los Angeles County,06037,CA-01,Greater LA Core,CA,Los Angeles,9720000
90003,Los Angeles County,06037,CA-01,Greater LA Core,CA,Los Angeles,9720000
90004,Los Angeles County,06037,CA-01,Greater LA Core,CA,Los Angeles,9720000
90005,Los Angeles County,06037,CA-01,Greater LA Core,CA,Los Angeles,9720000
90006,Los Angeles County,06037,CA-01,Greater LA Core,CA,Los Angeles,9720000
90007,Los Angeles County,06037,CA-01,Greater LA Core,CA,Los Angeles,9720000
90008,Los Angeles County,06037,CA-01,Greater LA Core,CA,Los Angeles,9720000
90010,Los Angeles County,06037,CA-01,Greater LA Core,CA,Los Angeles,9720000
90011,Los Angeles County,06037,CA-01,Greater LA Core,CA,Los Angeles,9720000
90012,Los Angeles County,06037,CA-01,Greater LA Core,CA,Los Angeles,9720000
90013,Los Angeles County,06037,CA-01,Greater LA Core,CA,Los Angeles,9720000
90014,Los Angeles County,06037,CA-01,Greater LA Core,CA,Los Angeles,9720000
90015,Los Angeles County,06037,CA-01,Greater LA Core,CA,Los Angeles,9720000
90016,Los Angeles County,06037,CA-01,Greater LA Core,CA,Los Angeles,9720000
90017,Los Angeles County,06037,CA-01,Greater LA Core,CA,Los Angeles,9720000
90018,Los Angeles County,06037,CA-01,Greater LA Core,CA,Los Angeles,9720000
90019,Los Angeles County,06037,CA-01,Greater LA Core,CA,Los Angeles,9720000
90020,Los Angeles County,06037,CA-01,Greater LA Core,CA,Los Angeles,9720000
90021,Los Angeles County,06037,CA-01,Greater LA Core,CA,Los Angeles,9720000
90022,Los Angeles County,06037,CA-01,Greater LA Core,CA,Los Angeles,9720000
90023,Los Angeles County,06037,CA-01,Greater LA Core,CA,Los Angeles,9720000
90024,Los Angeles County,06037,CA-01,Greater LA Core,CA,Los Angeles,9720000
90025,Los Angeles County,06037,CA-01,Greater LA Core,CA,Los Angeles,9720000
90026,Los Angeles County,06037,CA-01,Greater LA Core,CA,Los Angeles,9720000
90027,Los Angeles County,06037,CA-01,Greater LA Core,CA,Los Angeles,9720000
90028,Los Angeles County,06037,CA-01,Greater LA Core,CA,Los Angeles,9720000
90029,Los Angeles County,06037,CA-01,Greater LA Core,CA,Los Angeles,9720000
90031,Los Angeles County,06037,CA-01,Greater LA Core,CA,Los Angeles,9720000
90032,Los Angeles County,06037,CA-01,Greater LA Core,CA,Los Angeles,9720000
90033,Los Angeles County,06037,CA-01,Greater LA Core,CA,Los Angeles,9720000
90034,Los Angeles County,06037,CA-01,Greater LA Core,CA,Los Angeles,9720000
90035,Los Angeles County,06037,CA-01,Greater LA Core,CA,Los Angeles,9720000
90036,Los Angeles County,06037,CA-01,Greater LA Core,CA,Los Angeles,9720000
90037,Los Angeles County,06037,CA-01,Greater LA Core,CA,Los Angeles,9720000
90038,Los Angeles County,06037,CA-01,Greater LA Core,CA,Los Angeles,9720000
90039,Los Angeles County,06037,CA-01,Greater LA Core,CA,Los Angeles,9720000
90040,Los Angeles County,06037,CA-01,Greater LA Core,CA,Los Angeles,9720000
90041,Los Angeles County,06037,CA-01,Greater LA Core,CA,Los Angeles,9720000
90042,Los Angeles County,06037,CA-01,Greater LA Core,CA,Los Angeles,9720000
90043,Los Angeles County,06037,CA-01,Greater LA Core,CA,Los Angeles,9720000
90044,Los Angeles County,06037,CA-01,Greater LA Core,CA,Los Angeles,9720000
90045,Los Angeles County,06037,CA-01,Greater LA Core,CA,Los Angeles,9720000
90046,Los Angeles County,06037,CA-01,Greater LA Core,CA,Los Angeles,9720000
90047,Los Angeles County,06037,CA-01,Greater LA Core,CA,Los Angeles,9720000
90048,Los Angeles County,06037,CA-01,Greater LA Core,CA,Los Angeles,9720000
90049,Los Angeles County,06037,CA-01,Greater LA Core,CA,Los Angeles,9720000
90052,Los Angeles County,06037,CA-01,Greater LA Core,CA,Los Angeles,9720000
90056,Los Angeles County,06037,CA-01,Greater LA Core,CA,Los Angeles,9720000
90057,Los Angeles County,06037,CA-01,Greater LA Core,CA,Los Angeles,9720000
90058,Los Angeles County,06037,CA-01,Greater LA Core,CA,Los Angeles,9720000
90059,Los Angeles County,06037,CA-01,Greater LA Core,CA,Los Angeles,9720000
